tokens,rewards
"3,3,0,6,1,4,8,1,9,1,4,7,0,0,9,0,9,0",0.0
"7,1,3,8,4,2,8,0,1,0,3,8,4,6,0,0,0,9,9,9",0.0
"3,3,6,0,6,8,0,6,4,1,9,0,0",0.0
"2,9,6,4,7,2,2,0,7,0,9,7,4,4,9,0,0",0.332693500073815
"5,2,9,4,1,9,3,8,2,9,3,0,7,4,8,0,0,0,0",0.0
"7,1,5,8,8,0,1,7,6,1,4,4,9,0,0,9,9",0.0
"6,1,9,2,8,0,1,2,2,8,2,9,0,9,2,0,0,0",0.0
"5,3,0,1,4,0,3,3,9,1,3,0,2,3,9,0,9,0,0,0",0.5599842515294933
"7,6,4,0,2,8,2,0,9,4,9,3,0,0",0.0
"3,5,0,7,2,5,3,1,4,8,1,2,9,2,0,0,9,0,0,0,0",0.21265992394076277
"7,4,6,1,8,3,9,8,3,8,2,0,8,1,0,9,9,0,0",0.0
"4,4,0,0,8,5,7,3,4,0,3,9,0,9",0.0
"5,8,8,8,1,7,0,8,4,0,9",0.0
"8,2,1,8,1,7,6,2,8,2,2,9,0,0,0,2,0,0,0,0",0.0
"6,8,3,7,3,7,2,0,9,9,9",0.6609206924593859
"7,7,2,9,5,7,2,2,2,7,3,4,0,4,9,0,9,0,0,0",0.2977217585573011
"1,9,3,7,0,6,1,1,2,3,2,4,0,9,0,9,0,0,0",0.4251277291143075
"3,5,2,3,1,7,4,9,8,0,7,7,0,0,0,2,9,0",0.0
"3,2,4,3,6,0,4,1,0,4,8,8,4,0,0,0,0,0,9,9",0.0
"7,2,6,0,7,6,2,4,9,4,9,1,9,1,7,0,0,0",0.39591103225133234
"5,3,9,3,8,1,9,3,9,3,3,0,0,0,3,0,0",0.0
"1,8,0,1,5,1,2,2,9,0,2,0,1,0,9,0,0",0.0
"3,2,7,4,2,2,8,6,3,7,0,1,7,0,0,0,0,9,0,0",0.0
"6,1,1,8,8,1,9,0,4,8,0,0,9",0.0
"5,2,7,3,1,1,1,1,9,0,8,3,4,0,9,0,9,0,0,0",0.586835924079397
"6,7,2,2,9,4,8,3,9,1,1,0,8,0,0,9,0",0.0
"4,9,1,4,0,2,3,6,2,9,2,3,0,0,0,9,0,0",0.37327779097721053
"5,8,8,8,4,3,0,2,8,3,9,2,0,0,9,9",0.0
"5,4,2,8,3,9,0,2,8,8,0,3,4,1,8,3,0,0,0,0,0,9",0.0
"2,5,0,3,6,4,9,7,3,2,7,1,9,8,0,9,0,0",0.0
"3,1,9,1,8,2,3,5,8,3,1,0,9,1,4,0,9,0,0,0,0,0",0.0
"4,2,3,0,1,0,2,9,6,1,3,3,8,3,1,9,0,9,0,0,0,0,0",0.0
"1,2,2,0,5,2,8,8,4,7,3,4,9,0,9,8,0,9,0,0",0.0
"5,4,1,9,0,1,4,0,4,9,0,4,8,2,3,0,9,0,0",0.0
"5,4,0,7,1,9,1,1,0,8,3,3,0,9,0,0",0.4366816712526957
"3,0,8,5,1,0,8,8,1,7,0,8,2,9,0",0.0
"6,3,9,1,0,1,0,8,4,1,0,9,4,2,3,9,0,0,0",0.0
"8,6,2,9,7,4,7,1,7,1,8,2,9,7,0,9,0,0",0.0
"3,1,3,0,0,3,9,6,7,0,4,5,8,3,9,0,0",0.0
"5,8,1,0,7,7,2,2,9,2,9,2,8,0,0,9",0.0
"6,7,3,1,8,4,1,8,4,0,4,7,0,0,1,9,0,0,0,9",0.0
"5,3,2,2,3,9,4,3,9,0,0,9,1,4,0,0,0,8,0",0.0
"7,7,2,9,1,2,6,2,9,1,0,1,7,0,0,0,9",0.29050148175555046
"1,5,0,8,2,4,0,9,8,8,5,8,1,4,9,0,9",0.0
"5,3,9,1,9,7,0",0.6609207074815712
"4,0,6,7,7,7,2,9,0",0.0
"6,1,0,3,8,8,8,8,0,3,2,9,4,0,9,9",0.0
"4,0,2,9,8,3,5,2,8,2,4,2,0,2,9,0,9,0,0,0",0.0
"3,1,9,7,7,4,0,9,4,7,1,5,4,9,7,0,3,0,0,0",0.8568451884896906
"8,4,2,0,1,9,2,8,5,4,4,0,0,9,2,0,0,9",0.0
"5,8,8,1,8,0,2,1,4,9,1,2,4,3,0,9,9,0,0,0,0",0.0
"4,1,5,7,1,2,9,4,8,3,0,2,3,1,9,4,9,0,0,0,0,0,0,0",0.0
"4,9,7,5,7,7,2,8,0,9",0.0
"3,5,7,2,2,0,2,1,3,0,3,8,1,0,0,9,9,0,9,0",0.0
"1,5,0,3,7,2,5,7,7,3,9,3,4,7,0,9,0,9,0",0.107251359474254
"1,0,1,5,1,0,0,8,0",0.0
"5,7,1,7,4,3,0,0,8,0,9",0.0
"3,4,1,0,7,0,3,9,1,7,3,0,3,0,0,0,0",0.3167450288132161
"7,3,1,2,7,4,5,7,3,0,2,2,3,8,1,0,0,9,0,0,0,0,0,0",0.0
"4,9,4,6,1,7,4,3,9,0,0,1,0,9,8,0",0.0
"4,7,4,0,0,6,1,3,3,8,2,3,0,0,3,0,9,9,9,0",0.0
"1,2,1,9,6,4,3,0,8,4,4,3,2,3,8,0,9,9,0,0,0,0,0,0",0.0
"1,1,2,3,8,4,0,9,9,2,6,0,5,0,0,9",0.0
"3,3,3,0,3,4,8,0,0,5,2,9,0,1,2,0,9,0,0",0.0
"5,1,4,9,2,7,3,2,9,8,0,0,3,9,0,0",0.0
"6,4,9,7,2,1,2,0,9,4,8,0,9,1,0,0",0.0
"3,1,4,0,5,1,9,0,6,2,7,3,7,0,9,9,0",0.0
"2,1,9,6,1,0,0,7,3,0,2,9,8,6,0",0.44316433567385505
"1,9,4,5,0,5,8,2,2,4,4,9,7,7,0,9,0,0",0.0
"6,7,1,0,3,9,2,9,0",0.6460700580222526
"4,9,2,8,3,0,3,0,3,6,7,3,9,1,2,9,0,0,0,0",0.0
"2,2,5,0,9,8,3,4,8,8,3,5,1,8,0,9,0,0,9",0.0
"8,3,9,6,2,3,1,8,1,4,0,3,0,2,0,0,0,0,9,0",0.0
"7,4,4,5,3,1,8,4,7,4,9,7,0,0,1,9,0,9,0,0",0.0
"2,6,0,5,3,4,7,3,9,3,2,0,2,9,8,0,9,0,0",0.0
"6,2,0,8,1,3,3,2,7,7,7,0,7,0,0,9,9",0.0
"2,4,0,6,7,1,9,2,2,0,9,9,5,1,0,0",0.3144616559700126
"2,7,0,3,8,6,0,5,0",0.0
"1,8,0,1,2,9,6,0,1,1,7,6,0,9,9",0.0
"4,1,0,3,9,0,8,6,0",0.36460199795105874
